NAME,ERA5_Land,GLDAS20_NOAH36,GLDAS20_CLSM25,GLDAS20_VIC412,GLDAS21_NOAH36,GLDAS21_CLSM25,GLDAS21_VIC412,GLDAS22_CLSM25,JRA55,GRUN,MERRA2
WINISK,357.33882250658314,256.68425062574926,115.85660390836222,457.44471110563956,189.0595742555052,40.35340726806666,358.94195040845153,502.10316671992297,210.46345037677747,205.46860593426072,138.60977812501872
COPPER,713.4877549833138,947.7192824504,353.39007586560734,558.7858495280864,1077.8678259328674,547.0699035886917,834.5057785539823,527.4446645758451,501.8700800873794,541.6927771907355,719.6533260540518
NOTTAWAY,587.293086926175,409.6593987922264,236.46759684940517,662.881883566898,366.69848637967954,123.58269296474643,620.0166369756441,847.9492456246813,382.2023623541693,466.07744686374474,226.76315542108378
TALAS,114.95798924594149,39.167159672741214,19.18380791389772,147.764459920872,58.907772566456686,24.453113165776664,168.78030768047302,12.701548847738888,84.9560060432506,62.08086787738,25.15005594444678
MARONI,508.91078140682055,1064.0527999028752,957.1485681770655,1462.4702494558012,591.3837041542832,626.8255128470161,1102.6297232944528,1405.2567734993645,508.2524825264898,1044.0637451782313,464.96220120165844
ANDERSON,59.259706615926895,20.88577917795828,16.83075378117421,86.81887228159448,36.02616661413069,15.129598320251091,72.35074521117419,14.449409909230535,52.631653066399565,132.68698071111496,67.58575786721632
GUADIANA,26.768372039035132,123.73319912757628,40.764333442439714,215.07164741511866,176.6030203581082,77.11700628272625,293.5607037799606,33.10845354918671,51.64544092455683,84.5393570984577,43.73203747084828
ESSEQUIBO,839.3491126757577,1325.774928537871,1027.9726034167265,1629.2543690693387,691.9236184087441,538.0676218952195,1105.0768835680965,1409.7012640357348,638.3284872774066,923.930925024026,281.6531237950127
SUSQUEHANNA,421.43973292621985,364.113856501396,188.74802302496846,677.6632930394953,450.73908160326465,218.76350206979322,734.4007251417358,211.9068479607503,585.9806039015923,480.5117335162273,229.0075696265228
JEQUITINHONHA,109.90660047565969,163.68213390359216,108.39811335869165,381.6399493083024,192.1542564273131,174.32145515117267,436.07667845697824,94.56808735844618,146.61433179774716,201.40289463019846,75.00823744050867
TAGUS,72.27649830158802,145.76248109261897,63.57442488222091,232.34020485427095,183.7891840642686,79.5748718095895,287.1547460627612,45.67013226510535,70.92985685574817,156.0833271032423,64.58749422840712
JACUI,527.0433388960955,667.031186653511,547.798904808668,1039.750109154803,684.0535145377338,662.8655501095402,1061.4787426841854,886.7319583103896,567.6368162084186,626.6070059750293,298.1463584646225
GAMBIA,82.4385732860857,394.0753238547096,105.56885117850452,639.6520280670937,277.43477609477566,104.61534991166093,552.2421817549869,107.66537139667358,165.04378857548005,112.28063024700535,161.3006756301231
DNIESTR,154.365198285536,90.25361661866448,76.947863667016,283.6580546166113,154.37316562784497,104.57854342505667,383.8238286360353,51.424275563961885,201.6173473938562,155.0078218196291,67.13178578189772
SEINE,148.8039515263792,149.02346901028073,94.25923035177374,349.9981417832129,210.99069180064444,128.92965966725032,401.1552369737481,64.24357546300772,279.86595364780413,230.23954198952188,64.51543759214705
PO,706.6610717078511,603.1480973337385,452.10280231338254,793.0886011749046,439.695821721935,296.77708332606494,589.6652329797928,444.40138868959673,570.271855928413,481.1612321839316,211.03026752869695
JAGUARIBE,80.77478573159587,95.08395283911416,76.5151516926385,238.52685959003216,108.77295065010632,107.79315926177392,261.37909025945294,61.85571661650245,203.4675701518276,78.75705641234865,92.70234770200098
UVS NUUR,54.3298614345948,41.53298015313926,25.580833645061396,148.89217693254093,18.526095488206444,10.194539458901371,71.89870919882294,37.889307104029896,43.886482431413576,81.73773382822866,11.018242372968928
GASCOYNE,5.213803163088619,8.757495770843569,23.197059089631498,16.71362140963155,15.959149775621778,30.143878224353234,32.50252222569715,10.675568249930434,8.163244433205755,8.809986437076072,19.236461675229634
ZHEM,3.6097319301487345,8.294657842744172,12.5908056050262,75.85121359912202,24.234924831848605,18.202755540210433,139.9894428365974,5.042736297324478,44.92644120695822,16.054472352963096,14.410947474428287
SASSANDRA,350.805887293095,649.480889004386,242.90157941317915,932.2819835582584,348.8450618978943,147.15014657872229,639.3542034756317,311.61575177814706,364.5377421218492,318.98495203601266,111.02206729331954
MAHAKAM,2087.6557581188877,2099.9143217926808,2088.609133840924,2337.165959329191,1959.783691918787,1520.3641597109902,2273.3475582908536,2618.362068115247,824.0863569388757,2033.1835376831482,1181.8685682749203
MEZEN,364.28349869653425,243.4305611896172,106.04220541738053,389.54039032819907,334.4242753251167,130.39182472011902,488.60858427230716,408.8577047742203,257.65617254671207,233.07967852276596,331.03610612739595
SACRAMENTO,395.9645980983777,244.76339430784327,123.57439406016661,396.5671608649535,211.99421994366384,112.78202255540978,375.87683606219036,445.37615534151774,643.6594182652301,376.34199164226254,179.94228922991826
YAQUI,44.53011815659322,17.426979932958883,56.06838284535521,69.98545886788447,22.345538282011397,47.917077045317185,87.32704794675371,28.673488381861226,82.80387067415134,35.13607630892625,35.04940020007417
ROPER,139.4211195093167,415.19491530895766,186.48543696322153,625.3875739737438,417.7706616740619,192.97737539577798,636.6312743153073,156.57437904778138,303.7664152817257,150.2972668624804,243.339005237841
ASHBURTON,10.482441285938988,20.33291284071613,35.21148094342585,57.221422585070265,23.857288512981885,36.90961256762302,68.55016246140917,22.96135298440293,14.51615853607206,16.99978916856681,27.815634741450236
CAUVERY,330.931480521988,414.88055200803547,349.91934489418264,776.8355538044416,409.4206367886467,276.8488345852657,820.8486748396119,133.40382354134766,98.31886439306608,202.31690509465915,318.0313634222899
MAMBERAMO,3574.838931553467,2277.5191971931044,2080.779966983901,2511.596549299997,2551.4514639236213,2175.446454398261,2854.221166073349,2068.9879316078614,3491.1374072005406,2068.210468124899,815.5678814587003
RUKWA,190.09956856733146,181.84685124866834,67.89095217347855,396.855528683797,201.7526315797914,72.37272436712401,411.61710391076474,60.4347077091676,11.992924842951094,199.60306411371488,84.342692424379
SEPIK,3013.224260088803,1981.055177225145,1692.7548753402782,2276.1515977983754,2448.9883326008917,2010.6748063111409,2755.3588868139186,1796.5628233440978,2617.1401928356768,1815.1330701966817,865.7656583133867
KIZILIRMAK,44.27753848956408,42.35153728809477,34.976630168293624,260.0602319271551,130.83010629194092,77.01586560214669,383.47386066803307,21.12090864283542,172.32517169621093,99.1841999616907,41.565892398250085
DOCE,328.1988602449123,398.1197081728237,211.73248349415553,687.816683736302,452.91584698523167,320.60193493859146,716.7018397140984,260.3080219933283,462.2654841748851,419.32229460882235,146.74513476515372
COMOE,119.79886180192257,341.27676929714363,118.99800768927696,647.8585112764624,222.30166151283598,100.50192925011527,525.5011530541022,90.86310167032065,176.61600684872263,126.31157953110464,131.34287394183295
KAPUAS,2035.2917536854009,2556.1701761063027,2541.339297498398,2834.32738093639,2153.760885207831,1731.4262873752239,2492.1638169760254,3287.521431621649,1853.621738515273,2456.4301791588296,1785.4750705119718
